01/05/2022,Abaetetuba - PA,Parcialmente nublado a encoberto com chuva e trovoadas a tarde e a noite,Estavel,23,30,70,100,E - NE
02/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e no inicio da noite,Estavel,23,31,70,100,E - NE
03/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e no inicio da noite,Estavel,23,31,70,100,E - NE
04/05/2022,Abaetetuba - PA,Encoberto com chuva e trovoadas a qualquer hora do dia,Estavel,23,29,70,100,E - NE
05/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a qualquer hora do dia,Estavel,24,32,65,100,E - NE
06/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,33,60,100,E - NE
08/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,24,33,60,100,E - NE
09/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,24,32,60,100,E - NE
10/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva isoladas a tarde,Estavel,23,33,55,95,SE - E
11/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva a tarde e a noite,Estavel,23,32,60,95,SE - E
12/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,60,95,SE - E
13/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,23,32,60,95,SE - E
14/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Estavel,23,32,60,95,E - NE
15/05/2022,Abaetetuba - PA,Parcialmente nublado a encoberto com chuva e trovoadas a tarde e a noite,Estavel,24,32,60,95,E - NE
16/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a tarde e a noite,Estavel,24,33,55,95,E - NE
17/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas entre o final da tarde e o inicio da noite,Estavel,24,33,55,95,E - NE
18/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva isoladas a noite,Estavel,24,32,55,95,E - NE
19/05/2022,Abaetetuba - PA,Encoberto com chuva e trovoadas a qualquer hora do dia,Estavel,24,29,70,100,E - NE
20/05/2022,Abaetetuba - PA,Encoberto com chuva e trovoadas pela manha e a tarde,Estavel,24,29,70,100,E - NE
21/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Elevacao,24,31,70,100,E - NE
22/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e a noite,Elevacao,24,31,70,100,E - NE
23/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com chuva e trovoadas a tarde e a noite,Estavel,24,31,70,100,E - NE
24/05/2022,Abaetetuba - PA,Poucas nuvens a encoberto com pancadas de chuva e trovoadas a qualquer hora do dia,Estavel,24,31,70,100,E - NE
25/05/2022,Abaetetuba - PA,Poucas nuvens a encoberto com pancadas de chuva e trovoadas a qualquer hora do dia,Estavel,24,31,70,100,E - NE
27/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas entre o final da tarde e o inicio da noite,Estavel,24,33,60,100,E - NE
28/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas entre o final da tarde e o inicio da noite,Estavel,24,33,60,100,E - NE
29/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e no inicio da noite,Estavel,24,33,60,100,E - NE
30/05/2022,Abaetetuba - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde e no inicio da noite,Estavel,24,33,60,100,E - NE
31/05/2022,Abaetetuba - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas isoladas a tarde e no inicio da noite,Estavel,23,31,65,95,-
01/05/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde e a noite,Estavel,22,30,70,100,E - NE
02/05/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,22,29,70,100,E - NE
03/05/2022,Abel Figueiredo - PA,Parcialmente nublado a nublado com pancadas de chuva e trovoadas a tarde,Estavel,22,29,70,100,E - NE
04/05/2022,Abel Figueiredo - PA,Parcialmente nublado a encoberto com pancadas de chuva e trovoadas a tarde e a noite,Estavel,22,30,70,100,E - NE
05/05/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com chuva e trovoadas a tarde,Estavel,23,32,60,100,E - NE
06/05/2022,Abel Figueiredo - PA,Poucas nuvens a nublado com pancadas de chuva e trovoadas a tarde,Estavel,23,33,55,100,E - NE
